Year,Crop_Name,Month,Market_Price_per_kg,Demand,State
2025,Rice,January,49.28,Medium,Tamil Nadu
2025,Potato,October,15.3,Low,Telangana
2025,Cabbage,June,69.88,Medium,Uttar Pradesh
2025,Groundnut,January,114.67,High,Rajasthan
2025,Beans,July,41.37,Medium,Rajasthan
2025,Tomato,June,15.13,Low,Telangana
2025,Banana,February,97.69,High,Kerala
2025,Corn,November,47.87,Medium,Tamil Nadu
2025,Carrot,February,28.48,Low,Andhra Pradesh
2025,Sugarcane,November,146.32,High,Uttar Pradesh
2025,Mango,June,35.61,Medium,Kerala
2025,Groundnut,May,32.95,Medium,Tamil Nadu
2025,Carrot,April,50.54,Medium,Rajasthan
2025,Corn,July,23.41,Low,Tamil Nadu
2025,Cabbage,July,90.91,High,Gujarat
2025,Corn,September,24.74,Low,Kerala
2025,Groundnut,December,57.94,Medium,Telangana
2025,Mango,October,114.53,High,Maharashtra
2025,Carrot,July,120.81,High,Punjab
2025,Chilli,May,66.73,Medium,Maharashtra
2025,Wheat,November,134.59,High,Gujarat
2025,Groundnut,June,66.98,Medium,Andhra Pradesh
2025,Banana,December,31.17,Medium,Andhra Pradesh
2025,Sugarcane,January,67.93,Medium,Uttar Pradesh
2025,Tomato,December,10.51,Low,Gujarat
2025,Groundnut,September,114.5,High,Kerala
2025,Wheat,November,139.35,High,Uttar Pradesh
2025,Cotton,November,11.8,Low,Kerala
2025,Groundnut,September,26.23,Low,Uttar Pradesh
2025,Banana,December,21.31,Low,Rajasthan
2025,Mango,June,10.27,Low,Andhra Pradesh
2025,Sugarcane,October,10.5,Low,Tamil Nadu
2025,Banana,July,56.97,Medium,Kerala
2025,Wheat,October,13.84,Low,Maharashtra
2025,Cotton,July,49.13,Medium,Kerala
2025,Corn,October,20.62,Low,Punjab
2025,Wheat,April,67.81,Medium,Punjab
2025,Wheat,January,25.84,Low,Rajasthan
2025,Wheat,August,49.27,Medium,Gujarat
2025,Onion,January,39.02,Medium,Tamil Nadu
2025,Onion,July,23.41,Low,Kerala
2025,Cabbage,December,76.68,High,Punjab
2025,Cabbage,May,57.32,Medium,Kerala
2025,Beans,February,100.29,High,Andhra Pradesh
2025,Sugarcane,October,52.43,Medium,Rajasthan
2025,Sugarcane,April,10.66,Low,Rajasthan
2025,Mango,October,27.35,Low,Punjab
2025,Chilli,May,55.1,Medium,Telangana
2025,Tomato,September,14.02,Low,Tamil Nadu
2025,Sugarcane,July,50.36,Medium,Maharashtra
2025,Sugarcane,April,113.17,High,Karnataka
2025,Banana,January,148.94,High,Maharashtra
2025,Corn,August,18.12,Low,Telangana
2025,Mango,June,123.86,High,Uttar Pradesh
2025,Chilli,May,25.28,Low,Andhra Pradesh
2025,Banana,December,44.7,Medium,Uttar Pradesh
2025,Chilli,June,11.69,Low,Kerala
2025,Carrot,January,19.04,Low,Tamil Nadu
2025,Potato,September,12.15,Low,Punjab
2025,Tomato,December,12.87,Low,Punjab
2025,Banana,May,15.95,Low,Tamil Nadu
2025,Sugarcane,July,148.61,High,Telangana
2025,Mango,February,38.82,Medium,Uttar Pradesh
2025,Mango,May,13.76,Low,Punjab
2025,Cabbage,March,44.05,Medium,Telangana
2025,Banana,February,36.05,Medium,Karnataka
2025,Wheat,November,80.03,High,Punjab
2025,Carrot,August,34.05,Medium,Maharashtra
2025,Cotton,May,76.31,High,Telangana
2025,Onion,July,48.4,Medium,Gujarat
2025,Onion,February,61.99,Medium,Gujarat
2025,Cotton,October,26.59,Low,Uttar Pradesh
2025,Onion,March,60.63,Medium,Maharashtra
2025,Groundnut,November,23.93,Low,Andhra Pradesh
2025,Groundnut,February,14.3,Low,Gujarat
2025,Groundnut,July,79.94,High,Andhra Pradesh
2025,Potato,December,42.03,Medium,Uttar Pradesh
2025,Sugarcane,March,17.75,Low,Gujarat
2025,Chilli,May,10.63,Low,Maharashtra
2025,Sugarcane,October,39.91,Medium,Kerala
2025,Banana,November,20.59,Low,Karnataka
2025,Onion,May,137.09,High,Kerala
2025,Sugarcane,July,77.35,High,Karnataka
2025,Cotton,August,17.73,Low,Tamil Nadu
2025,Cabbage,June,140.9,High,Tamil Nadu
2025,Tomato,December,122.18,High,Tamil Nadu
2025,Cotton,March,31.3,Medium,Gujarat
2025,Beans,September,26.28,Low,Tamil Nadu
2025,Groundnut,July,13.45,Low,Rajasthan
2025,Beans,January,39.99,Medium,Uttar Pradesh
2025,Cabbage,September,31.81,Medium,Tamil Nadu
2025,Beans,July,52.94,Medium,Telangana
2025,Onion,September,16.64,Low,Tamil Nadu
2025,Beans,April,53.42,Medium,Maharashtra
2025,Rice,April,83.16,High,Punjab
2025,Onion,October,66.22,Medium,Karnataka
2025,Rice,September,13.44,Low,Kerala
2025,Banana,November,106.62,High,Maharashtra
2025,Cabbage,January,27.42,Low,Punjab
2025,Sugarcane,June,21.26,Low,Uttar Pradesh
2025,Mango,April,55.64,Medium,Andhra Pradesh
2025,Potato,July,11.97,Low,Maharashtra
2025,Cotton,July,67.66,Medium,Gujarat
2025,Beans,November,20.38,Low,Telangana
2025,Groundnut,September,56.51,Medium,Telangana
2025,Beans,March,27.99,Low,Maharashtra
2025,Carrot,September,88.68,High,Karnataka
2025,Banana,January,60.27,Medium,Punjab
2025,Groundnut,June,28.81,Low,Tamil Nadu
2025,Rice,December,20.31,Low,Uttar Pradesh
2025,Potato,August,112.95,High,Gujarat
2025,Beans,October,32.34,Medium,Andhra Pradesh
2025,Cotton,January,94.04,High,Tamil Nadu
2025,Sugarcane,April,10.5,Low,Punjab
2025,Groundnut,April,29.4,Low,Andhra Pradesh
2025,Corn,May,65.79,Medium,Kerala
2025,Chilli,January,58.2,Medium,Maharashtra
2025,Banana,April,36.81,Medium,Punjab
2025,Chilli,January,89.1,High,Maharashtra
2025,Groundnut,March,106.21,High,Gujarat
2025,Mango,March,81.07,High,Gujarat
2025,Wheat,October,21.21,Low,Punjab
2025,Banana,September,92.78,High,Uttar Pradesh
2025,Mango,September,38.14,Medium,Uttar Pradesh
2025,Wheat,September,112.33,High,Uttar Pradesh
2025,Wheat,March,35.69,Medium,Karnataka
2025,Potato,March,19.02,Low,Uttar Pradesh
2025,Tomato,January,13.58,Low,Rajasthan
2025,Mango,February,76.96,High,Kerala
2025,Beans,April,58.06,Medium,Rajasthan
2025,Onion,September,34.22,Medium,Rajasthan
2025,Groundnut,June,18.56,Low,Gujarat
2025,Wheat,August,12.47,Low,Gujarat
2025,Potato,December,22.66,Low,Tamil Nadu
2025,Chilli,September,34.28,Medium,Punjab
2025,Sugarcane,May,12.91,Low,Punjab
2025,Chilli,April,145.19,High,Andhra Pradesh
2025,Banana,May,59.22,Medium,Tamil Nadu
2025,Onion,June,14.41,Low,Kerala
2025,Wheat,March,34.87,Medium,Andhra Pradesh
2025,Cotton,April,76.69,High,Rajasthan
2025,Rice,June,26.8,Low,Karnataka
2025,Carrot,March,65.89,Medium,Telangana
2025,Banana,June,21.96,Low,Gujarat
2025,Groundnut,April,15.17,Low,Rajasthan
2025,Beans,January,28.26,Low,Karnataka
2025,Cotton,January,111.57,High,Telangana
2025,Rice,May,14.64,Low,Punjab
2025,Corn,October,18.87,Low,Karnataka
2025,Potato,February,127.24,High,Tamil Nadu
2025,Rice,July,100.69,High,Andhra Pradesh
2025,Onion,January,60.34,Medium,Punjab
2025,Sugarcane,July,17.54,Low,Telangana
2025,Groundnut,February,109.59,High,Uttar Pradesh
2025,Tomato,September,12.45,Low,Karnataka
2025,Chilli,March,142.74,High,Andhra Pradesh
2025,Sugarcane,July,104.96,High,Tamil Nadu
2025,Sugarcane,October,73.38,High,Telangana
2025,Carrot,February,34.29,Medium,Punjab
2025,Banana,November,78.4,High,Telangana
2025,Wheat,May,76.24,High,Telangana
2025,Rice,August,20.6,Low,Maharashtra
2025,Cabbage,July,10.08,Low,Andhra Pradesh
2025,Corn,October,55.15,Medium,Punjab
2025,Corn,January,136.73,High,Tamil Nadu
2025,Cabbage,June,94.69,High,Punjab
2025,Mango,February,13.82,Low,Punjab
2025,Rice,October,26.88,Low,Telangana
2025,Cotton,December,33.57,Medium,Andhra Pradesh
2025,Banana,July,90.16,High,Gujarat
2025,Rice,February,48.17,Medium,Kerala
2025,Sugarcane,May,30.43,Medium,Punjab
2025,Banana,March,147.31,High,Punjab
2025,Potato,November,102.51,High,Uttar Pradesh
2025,Carrot,January,92.08,High,Uttar Pradesh
2025,Sugarcane,March,12.37,Low,Uttar Pradesh
2025,Banana,March,36.15,Medium,Karnataka
2025,Beans,August,69.39,Medium,Kerala
2025,Banana,June,135.09,High,Kerala
2025,Chilli,September,18.26,Low,Maharashtra
2025,Onion,December,58.07,Medium,Maharashtra
2025,Cabbage,January,70.16,High,Punjab
2025,Sugarcane,February,74.84,High,Tamil Nadu
2025,Beans,December,37.47,Medium,Karnataka
2025,Banana,January,19.92,Low,Telangana
2025,Corn,November,102.54,High,Andhra Pradesh
2025,Cotton,January,15.18,Low,Andhra Pradesh
2025,Tomato,August,56.34,Medium,Kerala
2025,Chilli,May,67.98,Medium,Gujarat
2025,Wheat,November,45.32,Medium,Karnataka
2025,Banana,January,12.91,Low,Gujarat
2025,Mango,January,27.87,Low,Uttar Pradesh
2025,Onion,October,109.23,High,Karnataka
2025,Cotton,April,145.86,High,Maharashtra
2025,Carrot,October,41.54,Medium,Telangana
2025,Onion,January,78.5,High,Rajasthan
2025,Cabbage,November,75.38,High,Uttar Pradesh
2025,Carrot,May,21.54,Low,Uttar Pradesh
2025,Groundnut,June,29.66,Low,Telangana
2025,Banana,May,58.09,Medium,Gujarat
2025,Cotton,February,79.01,High,Tamil Nadu
2025,Chilli,July,58.46,Medium,Telangana
2025,Carrot,January,146.87,High,Maharashtra
2025,Wheat,December,40.39,Medium,Uttar Pradesh
2025,Corn,September,128.8,High,Karnataka
2025,Groundnut,December,54.49,Medium,Karnataka
2025,Mango,October,43.36,Medium,Gujarat
2025,Cotton,June,21.86,Low,Andhra Pradesh
2025,Rice,June,145.44,High,Rajasthan
2025,Cabbage,September,140.39,High,Karnataka
2025,Carrot,June,98.21,High,Kerala
2025,Wheat,July,72.52,High,Andhra Pradesh
2025,Chilli,March,104.01,High,Tamil Nadu
2025,Mango,May,137.41,High,Tamil Nadu
2025,Sugarcane,October,41.56,Medium,Uttar Pradesh
2025,Chilli,September,60.78,Medium,Uttar Pradesh
2025,Groundnut,April,65.22,Medium,Telangana
2025,Mango,January,33.43,Medium,Kerala
2025,Cotton,June,44.55,Medium,Karnataka
2025,Wheat,June,29.02,Low,Rajasthan
2025,Corn,April,16.85,Low,Karnataka
2025,Rice,November,39.91,Medium,Tamil Nadu
2025,Groundnut,July,24.27,Low,Karnataka
2025,Sugarcane,May,35.7,Medium,Telangana
2025,Tomato,May,12.46,Low,Tamil Nadu
2025,Chilli,January,51.84,Medium,Tamil Nadu
2025,Onion,September,107.5,High,Uttar Pradesh
2025,Onion,July,101.13,High,Telangana
2025,Onion,July,111.2,High,Andhra Pradesh
2025,Groundnut,July,50.59,Medium,Telangana
2025,Potato,November,16.77,Low,Punjab
2025,Tomato,January,10.4,Low,Rajasthan
2025,Mango,June,10.0,Low,Andhra Pradesh
2025,Groundnut,March,95.53,High,Tamil Nadu
2025,Rice,January,97.25,High,Maharashtra
2025,Wheat,February,14.27,Low,Telangana
2025,Corn,February,69.55,Medium,Rajasthan
2025,Chilli,August,29.54,Low,Kerala
2025,Chilli,November,144.65,High,Kerala
2025,Onion,December,141.59,High,Rajasthan
2025,Wheat,May,64.98,Medium,Uttar Pradesh
2025,Sugarcane,February,49.04,Medium,Telangana
2025,Corn,January,12.62,Low,Karnataka
2025,Rice,March,53.0,Medium,Uttar Pradesh
2025,Rice,July,128.29,High,Rajasthan
2025,Beans,December,35.96,Medium,Telangana
2025,Beans,December,92.77,High,Tamil Nadu
2025,Rice,November,11.75,Low,Telangana
2025,Tomato,July,146.15,High,Karnataka
2025,Beans,November,46.02,Medium,Gujarat
2025,Groundnut,June,23.58,Low,Kerala
2025,Rice,February,42.26,Medium,Andhra Pradesh
2025,Cotton,January,18.62,Low,Andhra Pradesh
2025,Tomato,November,40.48,Medium,Karnataka
2025,Mango,April,11.83,Low,Punjab
2025,Cotton,January,145.89,High,Maharashtra
2025,Mango,February,64.02,Medium,Kerala
2025,Rice,September,25.68,Low,Karnataka
2025,Mango,January,111.64,High,Uttar Pradesh
2025,Beans,April,98.78,High,Maharashtra
2025,Tomato,October,64.22,Medium,Punjab
2025,Beans,October,21.18,Low,Gujarat
2025,Chilli,December,83.84,High,Punjab
2025,Groundnut,December,132.5,High,Tamil Nadu
2025,Carrot,July,51.18,Medium,Andhra Pradesh
2025,Tomato,February,65.2,Medium,Uttar Pradesh
2025,Carrot,October,12.76,Low,Karnataka
2025,Tomato,June,73.41,High,Rajasthan
2025,Mango,September,19.67,Low,Uttar Pradesh
2025,Beans,March,38.59,Medium,Uttar Pradesh
2025,Corn,April,135.16,High,Karnataka
2025,Chilli,August,68.87,Medium,Tamil Nadu
2025,Cotton,October,12.91,Low,Uttar Pradesh
2025,Cabbage,September,68.53,Medium,Uttar Pradesh
2025,Corn,April,126.28,High,Gujarat
2025,Beans,May,58.52,Medium,Maharashtra
2025,Wheat,June,147.17,High,Kerala
2025,Banana,April,19.31,Low,Uttar Pradesh
2025,Corn,May,22.68,Low,Andhra Pradesh
2025,Chilli,June,126.94,High,Gujarat
2025,Wheat,December,68.78,Medium,Kerala
2025,Chilli,December,53.72,Medium,Karnataka
2025,Banana,October,27.29,Low,Karnataka
2025,Onion,November,13.77,Low,Kerala
2025,Tomato,August,37.3,Medium,Rajasthan
2025,Banana,November,18.17,Low,Maharashtra
2025,Groundnut,May,143.2,High,Telangana
2025,Corn,December,28.5,Low,Telangana
2025,Chilli,March,40.95,Medium,Kerala
2025,Groundnut,October,147.15,High,Kerala
2025,Rice,February,40.84,Medium,Karnataka
2025,Cabbage,September,85.92,High,Andhra Pradesh
2025,Cotton,May,25.22,Low,Andhra Pradesh
2025,Sugarcane,January,85.05,High,Kerala
2025,Mango,December,27.9,Low,Punjab
2025,Wheat,August,37.04,Medium,Rajasthan
2025,Corn,May,50.69,Medium,Kerala
2025,Corn,December,27.78,Low,Tamil Nadu
2025,Cabbage,November,49.27,Medium,Andhra Pradesh
2025,Chilli,August,81.03,High,Andhra Pradesh
2025,Groundnut,December,122.61,High,Karnataka
2025,Cabbage,October,115.27,High,Karnataka
2025,Carrot,October,64.76,Medium,Karnataka
2025,Mango,September,85.16,High,Rajasthan
2025,Onion,March,40.47,Medium,Uttar Pradesh
2025,Corn,January,42.17,Medium,Maharashtra
2025,Cabbage,November,86.29,High,Tamil Nadu
2025,Corn,February,115.7,High,Telangana
2025,Rice,September,38.42,Medium,Karnataka
2025,Tomato,March,21.28,Low,Telangana
2025,Banana,April,46.19,Medium,Gujarat
2025,Chilli,July,102.79,High,Uttar Pradesh
2025,Cotton,April,15.32,Low,Rajasthan
2025,Beans,December,26.13,Low,Maharashtra
2025,Onion,September,78.92,High,Gujarat
2025,Groundnut,September,63.63,Medium,Karnataka
2025,Chilli,June,15.63,Low,Maharashtra
2025,Rice,April,103.15,High,Andhra Pradesh
2025,Banana,July,81.47,High,Tamil Nadu
2025,Banana,March,69.37,Medium,Maharashtra
2025,Sugarcane,August,17.6,Low,Maharashtra
2025,Onion,July,36.34,Medium,Andhra Pradesh
2025,Cotton,February,15.71,Low,Maharashtra
2025,Potato,August,84.22,High,Telangana
2025,Corn,July,39.67,Medium,Telangana
2025,Banana,March,67.75,Medium,Andhra Pradesh
2025,Rice,February,89.78,High,Telangana
2025,Rice,September,27.49,Low,Rajasthan
2025,Tomato,February,20.63,Low,Punjab
2025,Onion,August,83.74,High,Punjab
2025,Rice,April,28.85,Low,Tamil Nadu
2025,Carrot,December,113.39,High,Andhra Pradesh
2025,Cabbage,January,30.23,Medium,Telangana
2025,Banana,February,22.49,Low,Gujarat
2025,Rice,October,69.94,Medium,Andhra Pradesh
2025,Mango,March,102.64,High,Telangana
2025,Cabbage,May,30.7,Medium,Maharashtra
2025,Banana,December,117.27,High,Rajasthan
2025,Rice,January,22.67,Low,Maharashtra
2025,Potato,September,21.79,Low,Tamil Nadu
2025,Mango,March,65.49,Medium,Rajasthan
2025,Banana,February,91.29,High,Punjab
2025,Corn,July,14.22,Low,Karnataka
2025,Chilli,November,97.77,High,Gujarat
2025,Rice,January,127.4,High,Punjab
2025,Potato,January,10.45,Low,Andhra Pradesh
2025,Cotton,December,69.49,Medium,Andhra Pradesh
2025,Corn,March,46.04,Medium,Tamil Nadu
2025,Potato,July,120.67,High,Punjab
2025,Corn,July,28.56,Low,Karnataka
2025,Mango,June,18.89,Low,Punjab
2025,Tomato,April,34.15,Medium,Karnataka
2025,Corn,June,16.1,Low,Andhra Pradesh
2025,Cotton,June,57.94,Medium,Uttar Pradesh
2025,Mango,June,25.39,Low,Rajasthan
2025,Carrot,October,19.3,Low,Uttar Pradesh
2025,Banana,June,105.2,High,Uttar Pradesh
2025,Potato,January,49.03,Medium,Tamil Nadu
2025,Banana,April,28.66,Low,Tamil Nadu
2025,Carrot,January,16.34,Low,Maharashtra
2025,Wheat,August,36.65,Medium,Andhra Pradesh
2025,Tomato,September,20.2,Low,Maharashtra
2025,Rice,June,102.96,High,Kerala
2025,Cabbage,February,63.95,Medium,Rajasthan
2025,Sugarcane,March,48.71,Medium,Kerala
2025,Wheat,May,103.4,High,Punjab
2025,Onion,February,122.71,High,Andhra Pradesh
2025,Banana,April,58.7,Medium,Tamil Nadu
2025,Corn,August,37.79,Medium,Uttar Pradesh
2025,Mango,November,126.25,High,Punjab
2025,Wheat,October,27.24,Low,Punjab
2025,Mango,February,123.04,High,Maharashtra
2025,Potato,April,125.85,High,Andhra Pradesh
2025,Banana,March,107.47,High,Maharashtra
2025,Rice,November,40.1,Medium,Andhra Pradesh
2025,Carrot,April,42.95,Medium,Uttar Pradesh
2025,Banana,January,36.35,Medium,Karnataka
2025,Banana,May,22.14,Low,Telangana
2025,Potato,January,16.21,Low,Tamil Nadu
2025,Potato,December,28.21,Low,Karnataka
2025,Banana,March,78.43,High,Maharashtra
2025,Sugarcane,September,67.88,Medium,Maharashtra
2025,Beans,December,22.94,Low,Karnataka
2025,Corn,November,145.87,High,Uttar Pradesh
2025,Wheat,March,134.31,High,Rajasthan
2025,Chilli,February,17.28,Low,Tamil Nadu
2025,Onion,October,32.21,Medium,Kerala
2025,Onion,May,12.91,Low,Karnataka
2025,Cotton,October,53.65,Medium,Rajasthan
2025,Sugarcane,January,22.92,Low,Telangana
2025,Wheat,December,43.18,Medium,Tamil Nadu
2025,Carrot,February,98.75,High,Uttar Pradesh
2025,Banana,September,89.49,High,Punjab
2025,Chilli,December,108.44,High,Karnataka
2025,Chilli,March,110.9,High,Karnataka
2025,Wheat,October,74.66,High,Andhra Pradesh
2025,Onion,November,63.1,Medium,Andhra Pradesh
2025,Groundnut,August,19.82,Low,Uttar Pradesh
2025,Chilli,February,147.4,High,Kerala
2025,Potato,December,58.25,Medium,Punjab
2025,Wheat,January,11.45,Low,Telangana
2025,Banana,September,54.97,Medium,Maharashtra
2025,Rice,June,17.5,Low,Kerala
2025,Potato,December,21.42,Low,Maharashtra
2025,Rice,May,95.18,High,Punjab
2025,Corn,April,16.77,Low,Rajasthan
2025,Groundnut,September,22.14,Low,Uttar Pradesh
2025,Sugarcane,July,123.42,High,Gujarat
2025,Mango,December,17.28,Low,Kerala
2025,Tomato,August,70.04,High,Uttar Pradesh
2025,Carrot,January,22.66,Low,Kerala
2025,Chilli,April,13.67,Low,Andhra Pradesh
2025,Tomato,January,15.72,Low,Gujarat
2025,Corn,May,28.47,Low,Rajasthan
2025,Potato,December,120.28,High,Uttar Pradesh
2025,Carrot,February,28.01,Low,Punjab
2025,Beans,April,14.93,Low,Uttar Pradesh
2025,Carrot,September,42.45,Medium,Telangana
2025,Chilli,February,19.08,Low,Punjab
2025,Mango,December,141.27,High,Telangana
2025,Banana,January,68.43,Medium,Andhra Pradesh
2025,Beans,July,36.1,Medium,Rajasthan
2025,Corn,May,63.15,Medium,Punjab
2025,Mango,May,51.29,Medium,Rajasthan
2025,Beans,May,40.61,Medium,Telangana
2025,Tomato,December,110.23,High,Andhra Pradesh
2025,Tomato,September,144.54,High,Gujarat
2025,Onion,August,87.15,High,Uttar Pradesh
2025,Onion,November,23.5,Low,Andhra Pradesh
2025,Onion,August,134.57,High,Rajasthan
2025,Cotton,May,12.41,Low,Karnataka
2025,Banana,January,105.14,High,Kerala
2025,Cotton,December,58.92,Medium,Tamil Nadu
2025,Onion,December,65.94,Medium,Maharashtra
2025,Onion,November,23.65,Low,Punjab
2025,Banana,May,145.24,High,Maharashtra
2025,Carrot,March,27.04,Low,Karnataka
2025,Sugarcane,May,101.32,High,Uttar Pradesh
2025,Rice,April,27.96,Low,Karnataka
2025,Potato,May,15.15,Low,Kerala
2025,Rice,October,48.4,Medium,Maharashtra
2025,Cabbage,June,59.69,Medium,Telangana
2025,Beans,August,12.38,Low,Telangana
2025,Groundnut,November,91.02,High,Karnataka
2025,Wheat,May,133.09,High,Rajasthan
2025,Cotton,September,45.78,Medium,Telangana
2025,Rice,July,26.33,Low,Kerala
2025,Mango,September,17.53,Low,Telangana
2025,Mango,January,123.54,High,Telangana
2025,Tomato,February,102.08,High,Maharashtra
2025,Potato,January,34.25,Medium,Telangana
2025,Beans,May,69.32,Medium,Rajasthan
2025,Chilli,July,11.84,Low,Kerala
2025,Beans,December,61.73,Medium,Uttar Pradesh
2025,Rice,May,36.05,Medium,Kerala
2025,Groundnut,February,120.08,High,Punjab
2025,Sugarcane,October,15.47,Low,Karnataka
2025,Tomato,February,15.76,Low,Kerala
2025,Sugarcane,November,131.12,High,Karnataka
2025,Banana,August,55.32,Medium,Uttar Pradesh
2025,Tomato,October,24.47,Low,Andhra Pradesh
2025,Sugarcane,May,21.1,Low,Kerala
2025,Mango,November,17.82,Low,Gujarat
2025,Cotton,March,40.08,Medium,Karnataka
2025,Carrot,April,67.89,Medium,Kerala
2025,Sugarcane,June,42.52,Medium,Punjab
2025,Onion,September,14.87,Low,Telangana
2025,Corn,September,25.43,Low,Andhra Pradesh
2025,Carrot,March,63.34,Medium,Kerala
2025,Corn,July,54.4,Medium,Tamil Nadu
2025,Onion,April,13.45,Low,Tamil Nadu
2025,Cabbage,September,40.96,Medium,Karnataka
2025,Corn,May,113.01,High,Uttar Pradesh
